species,genus,family,order,year,month,day,decimalLatitude,decimalLongitude,locality,individualCount,basisOfRecord,datasetName,institutionCode,source,quality_grade,photo_url
Turdus hortulorum,Turdus,Turdidae,Passeriformes,2025,1,6,22.685808,113.847144,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Dicrurus macrocercus,Dicrurus,Dicruridae,Passeriformes,2025,1,6,22.519077,114.086107,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Zosterops simplex,Zosterops,Zosteropidae,Passeriformes,2025,1,6,22.519574,113.977745,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Mareca penelope,Mareca,Anatidae,Anseriformes,2025,1,4,22.524833,113.988339,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Limosa limosa,Limosa,Scolopacidae,Charadriiformes,2025,1,6,22.518256,113.982782,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Garrulax perspicillatus,Garrulax,Leiothrichidae,Passeriformes,2025,1,7,22.548914,113.912227,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Pluvialis fulva,Pluvialis,Charadriidae,Charadriiformes,2025,1,4,22.506537,113.95348,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Actitis hypoleucos,Actitis,Scolopacidae,Charadriiformes,2025,1,4,22.462242,114.038394,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Zosterops simplex,Zosterops,Zosteropidae,Passeriformes,2025,1,5,22.598042,114.115635,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Saxicola stejnegeri,Saxicola,Muscicapidae,Passeriformes,2025,1,5,22.504691,114.110412,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Pycnonotus jocosus,Pycnonotus,Pycnonotidae,Passeriformes,2025,1,6,22.510665,114.041177,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Turdus hortulorum,Turdus,Turdidae,Passeriformes,2025,1,5,22.497923,113.947195,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Numenius phaeopus,Numenius,Scolopacidae,Charadriiformes,2025,1,5,22.501538,113.948982,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Phoenicurus auroreus,Phoenicurus,Muscicapidae,Passeriformes,2025,1,5,22.681215,113.853527,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Vanellus cinereus,Vanellus,Charadriidae,Charadriiformes,2025,1,5,22.504691,114.110412,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Spodiopsar sericeus,Spodiopsar,Sturnidae,Passeriformes,2025,1,6,22.520886,113.993675,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Phoenicurus auroreus,Phoenicurus,Muscicapidae,Passeriformes,2025,1,4,22.499201,113.953381,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Hemixos castanonotus,Hemixos,Pycnonotidae,Passeriformes,2025,1,5,22.571347,114.003591,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Motacilla cinerea,Motacilla,Motacillidae,Passeriformes,2025,1,1,22.54286,114.05956,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Amaurornis phoenicurus,Amaurornis,Rallidae,Gruiformes,2025,1,6,22.51021,114.040476,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Lanius schach,Lanius,Laniidae,Passeriformes,2025,1,6,22.505301,114.109881,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Scolopax rusticola,Scolopax,Scolopacidae,Charadriiformes,2025,1,1,22.54286,114.05956,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Ardeola bacchus,Ardeola,Ardeidae,Pelecaniformes,2025,1,1,22.509512,114.116028,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Culicicapa ceylonensis,Culicicapa,Stenostiridae,Passeriformes,2025,1,6,22.685808,113.847144,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Platalea minor,Platalea,Threskiornithidae,Pelecaniformes,2025,1,1,22.551879,113.845201,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Turdus cardis,Turdus,Turdidae,Passeriformes,2025,1,1,22.54286,114.05956,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Numenius phaeopus,Numenius,Scolopacidae,Charadriiformes,2025,1,4,22.506537,113.95348,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Pycnonotus sinensis,Pycnonotus,Pycnonotidae,Passeriformes,2025,1,6,22.519629,114.087028,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
Milvus migrans,Milvus,Accipitridae,Accipitriformes,2025,1,6,22.518895,114.114944,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist,,,
